time: 1e-09, e: 1000000000000.0, Ar2^+: 0, Ar*: 0, Ar2(W)^+: 0, Ar(W)^+: 0, Ar^+: 1000000000000.0, Ar: 3.2187760973281406e+24, e(W): 0, EN: 77.66808103688814
time: 1.0000175446051393e-09, e: 1000002051810.6816, Ar2^+: 40651.96912611093, Ar*: 20032082.11609693, Ar2(W)^+: 0, Ar(W)^+: 170.7608884166103, Ar^+: 1000002011209.8356, Ar: 3.2187760973281406e+24, e(W): 218.51426879593194, EN: 77.66530799212566
time: 1.0000193863871373e-09, e: 1000002268618.1079, Ar2^+: 44832.49692169077, Ar*: 22133563.76334591, Ar2(W)^+: 0, Ar(W)^+: 170.7608884166103, Ar^+: 1000002223858.8297, Ar: 3.2187760973281406e+24, e(W): 241.7394232158198, EN: 77.66530799126603
time: 1.000021419600983e-09, e: 1000002504243.691, Ar2^+: 49584.363515999175, Ar*: 24447876.080756363, Ar2(W)^+: 0, Ar(W)^+: 196.30855827848694, Ar^+: 1000002454733.6611, Ar: 3.2187760973281406e+24, e(W): 267.28709307769645, EN: 77.66530799033177
time: 1.0000236389386556e-09, e: 1000002761043.5775, Ar2^+: 54783.31433289117, Ar*: 26996092.64438423, Ar2(W)^+: 0, Ar(W)^+: 224.41099512655126, Ar^+: 1000002706306.498, Ar: 3.2187760973281406e+24, e(W): 267.28709307769645, EN: 77.66530798931356
time: 1.0000260927961152e-09, e: 1000003047510.62, Ar2^+: 59976.644662413426, Ar*: 29795668.644155215, Ar2(W)^+: 0, Ar(W)^+: 255.323675659422, Ar^+: 1000002987550.4221, Ar: 3.2187760973281406e+24, e(W): 267.28709307769645, EN: 77.66530798817772
time: 1.0000287940287144e-09, e: 1000003361945.8699, Ar2^+: 66403.39094519713, Ar*: 32875202.244071987, Ar2(W)^+: 0, Ar(W)^+: 255.323675659422, Ar^+: 1000003295557.8049, Ar: 3.2187760973281406e+24, e(W): 267.28709307769645, EN: 77.66530798693098
time: 1.0000317801475576e-09, e: 1000003706328.3551, Ar2^+: 73659.83357348187, Ar*: 36263960.951219015, Ar2(W)^+: 0, Ar(W)^+: 292.7280191041956, Ar^+: 1000003632645.3284, Ar: 3.2187760973281406e+24, e(W): 267.28709307769645, EN: 77.6653079855655
time: 1.00003504839747e-09, e: 1000004081856.7201, Ar2^+: 81148.1831311247, Ar*: 39995298.55941241, Ar2(W)^+: 0, Ar(W)^+: 333.87279689344655, Ar^+: 1000004000685.3442, Ar: 3.2187760973281406e+24, e(W): 308.4318708669474, EN: 77.66530798407653
time: 1.0000386254435334e-09, e: 1000004501591.2582, Ar2^+: 89385.36764453286, Ar*: 44093252.59535342, Ar2(W)^+: 0, Ar(W)^+: 333.87279689344655, Ar^+: 1000004412182.6938, Ar: 3.2187760973281406e+24, e(W): 308.4318708669474, EN: 77.66530798241227
time: 1.0000425574628278e-09, e: 1000004967381.18, Ar2^+: 99093.4779639079, Ar*: 48596172.87279138, Ar2(W)^+: 0, Ar(W)^+: 433.44315914343395, Ar^+: 1000004868164.94, Ar: 3.2187760973281406e+24, e(W): 308.4318708669474, EN: 77.66530798056542
time: 1.0000468924468479e-09, e: 1000005475916.6371, Ar2^+: 108896.18012741863, Ar*: 53554149.61987449, Ar2(W)^+: 0, Ar(W)^+: 488.206858380927, Ar^+: 1000005366842.936, Ar: 3.2187760973281406e+24, e(W): 308.4318708669474, EN: 77.66530797854908
time: 1.0000516526821536e-09, e: 1000006036931.666, Ar2^+: 120703.23368302206, Ar*: 59005213.23794671, Ar2(W)^+: 0, Ar(W)^+: 488.206858380927, Ar^+: 1000005916112.28, Ar: 3.2187760973281406e+24, e(W): 368.6719400281898, EN: 77.66530797632466
time: 1.0000569157444176e-09, e: 1000006657429.2618, Ar2^+: 132365.71107263854, Ar*: 64999329.03167004, Ar2(W)^+: 0, Ar(W)^+: 488.206858380927, Ar^+: 1000006525012.526, Ar: 3.2187760973281406e+24, e(W): 434.9360161055564, EN: 77.66530797386436
time: 1.0000627137101144e-09, e: 1000007322117.758, Ar2^+: 146069.1220054373, Ar*: 71609985.66895913, Ar2(W)^+: 0, Ar(W)^+: 488.206858380927, Ar^+: 1000007175997.6077, Ar: 3.2187760973281406e+24, e(W): 434.9360161055564, EN: 77.66530797122887
time: 1.0000690744469538e-09, e: 1000008063937.968, Ar2^+: 161864.48982000013, Ar*: 78870322.47571705, Ar2(W)^+: 0, Ar(W)^+: 488.206858380927, Ar^+: 1000007902023.5726, Ar: 3.2187760973281406e+24, e(W): 434.9360161055564, EN: 77.66530796828755
time: 1.0000760442509664e-09, e: 1000008882146.2661, Ar2^+: 176769.8648287673, Ar*: 86855987.38299888, Ar2(W)^+: 0, Ar(W)^+: 576.404343639902, Ar^+: 1000008705679.2816, Ar: 3.2187760973281406e+24, e(W): 875.9234424004314, EN: 77.66530796504335
time: 1.0000837825126835e-09, e: 1000009775965.8395, Ar2^+: 195300.15648167624, Ar*: 95645360.69534415, Ar2(W)^+: 0, Ar(W)^+: 576.404343639902, Ar^+: 1000009580968.5675, Ar: 3.2187760973281406e+24, e(W): 875.9234424004314, EN: 77.66530796149935
